white_daisy,black_daisy,open_land
0.386625,0.210096,0.403279
0.377941,0.156998,0.465061
0.365464,0.110124,0.524413
0.348912,0.0770866,0.574002
0.33303,0.0539606,0.61301
0.31983,0.0377724,0.642398
0.309568,0.0264407,0.663991
0.301858,0.0185085,0.679633
0.296179,0.0129559,0.690865
0.29205,0.00906916,0.698881
0.289075,0.00634841,0.704577
0.286946,0.00444389,0.70861
0.28543,0.00311072,0.711459
0.284356,0.00217751,0.713466
0.283597,0.00152425,0.714878
0.283062,0.00106698,0.715871
0.282686,0.000746884,0.716567
0.282422,0.000522819,0.717056
0.282236,0.000365973,0.717398
0.282106,0.000256181,0.717638
0.282015,0.000179327,0.717806
0.281951,0.000125529,0.717924
0.281906,8.78702e-05,0.718006
0.281874,6.15091e-05,0.718064
0.281853,4.30564e-05,0.718104
0.281837,3.01395e-05,0.718133
0.281826,2.10976e-05,0.718153
0.281819,1.47683e-05,0.718166
0.281814,1.03378e-05,0.718176
0.28181,7.23649e-06,0.718183
0.281807,5.06554e-06,0.718188
0.281805,3.54588e-06,0.718191
0.281804,2.48212e-06,0.718193
0.281803,1.73748e-06,0.718195
0.281803,1.21624e-06,0.718196
0.281802,8.51366e-07,0.718197
0.281802,5.95956e-07,0.718197
0.281802,4.17169e-07,0.718198
0.281802,2.92018e-07,0.718198
0.281801,2.04413e-07,0.718198
0.281801,1.43089e-07,0.718198
0.281801,1.00162e-07,0.718199
0.281801,7.01136e-08,0.718199
0.281801,4.90795e-08,0.718199
0.281801,3.43557e-08,0.718199
0.281801,2.4049e-08,0.718199
0.281801,1.68343e-08,0.718199
0.281801,1.1784e-08,0.718199
0.281801,8.2488e-09,0.718199
0.281801,5.77416e-09,0.718199
0.281801,4.04191e-09,0.718199
0.281801,2.82934e-09,0.718199
0.281801,1.98054e-09,0.718199
0.281801,1.38638e-09,0.718199
0.281801,9.70463e-10,0.718199
0.281801,6.79324e-10,0.718199
0.281801,4.75527e-10,0.718199
0.281801,3.32869e-10,0.718199
0.281801,2.33008e-10,0.718199
0.281801,1.63106e-10,0.718199
0.281801,1.14174e-10,0.718199
0.281801,7.99218e-11,0.718199
0.281801,5.59452e-11,0.718199
0.281801,3.91617e-11,0.718199
0.281801,2.74132e-11,0.718199
0.281801,1.91892e-11,0.718199
0.281801,1.34325e-11,0.718199
0.281801,9.40272e-12,0.718199
0.281801,6.5819e-12,0.718199
0.281801,4.60733e-12,0.718199
0.281801,3.22513e-12,0.718199
0.281801,2.25759e-12,0.718199
0.281801,1.58031e-12,0.718199
0.281801,1.10622e-12,0.718199
0.281801,7.74354e-13,0.718199
0.281801,5.42048e-13,0.718199
0.281801,3.79434e-13,0.718199
0.281801,2.65604e-13,0.718199
0.281801,1.85922e-13,0.718199
0.281801,1.30146e-13,0.718199
0.281801,9.1102e-14,0.718199
0.281801,6.37714e-14,0.718199
0.281801,4.464e-14,0.718199
0.281801,3.1248e-14,0.718199
0.281801,2.18736e-14,0.718199
0.281801,1.53115e-14,0.718199
0.281801,1.07181e-14,0.718199
0.281801,7.50264e-15,0.718199
0.281801,5.25185e-15,0.718199
0.281801,3.67629e-15,0.718199
0.281801,2.57341e-15,0.718199
0.281801,1.80138e-15,0.718199
0.281801,1.26097e-15,0.718199
0.281801,8.82678e-16,0.718199
0.281801,6.17875e-16,0.718199
0.281801,4.32512e-16,0.718199
0.281801,3.02759e-16,0.718199
0.281801,2.11931e-16,0.718199
0.281801,1.48352e-16,0.718199
0.281801,1.03846e-16,0.718199
0.281801,7.26924e-17,0.718199
white_daisy,black_daisy,open_land
0.386625,0.210096,0.403279
0.377941,0.156998,0.465061
0.365464,0.110124,0.524413
0.348912,0.0770866,0.574002
0.33303,0.0539606,0.61301
0.31983,0.0377724,0.642398
0.309568,0.0264407,0.663991
0.301858,0.0185085,0.679633
0.296179,0.0129559,0.690865
0.29205,0.00906916,0.698881
0.289075,0.00634841,0.704577
0.286946,0.00444389,0.70861
0.28543,0.00311072,0.711459
0.284356,0.00217751,0.713466
0.283597,0.00152425,0.714878
