white_daisy,black_daisy,open_land
0.4,0.27,0.33
0.311253,0.260972,0.427775
0.276675,0.292721,0.430604
0.266588,0.307667,0.425745
0.263377,0.313732,0.422892
0.26235,0.316082,0.421568
0.262044,0.316989,0.420967
0.261971,0.317346,0.420683
0.261967,0.317491,0.420542
0.261978,0.317553,0.420469
0.26199,0.317581,0.420428
0.261999,0.317595,0.420406
0.262006,0.317602,0.420393
0.26201,0.317605,0.420385
0.262012,0.317607,0.420381
0.262013,0.317609,0.420378
0.262014,0.317609,0.420376
0.262015,0.31761,0.420376
0.262015,0.31761,0.420375
white_daisy,black_daisy,open_land
0.311253,0.260972,0.427775
0.276675,0.292721,0.430604
0.266588,0.307667,0.425745
0.263377,0.313732,0.422892
0.26235,0.316082,0.421568
0.262044,0.316989,0.420967
0.261971,0.317346,0.420683
0.261967,0.317491,0.420542
0.261978,0.317553,0.420469
0.26199,0.317581,0.420428
0.200853,0.319712,0.479435
0.173255,0.363305,0.46344
0.164829,0.403306,0.431865
0.163832,0.412361,0.423808
0.163935,0.414123,0.421943
0.164148,0.41451,0.421342
0.164326,0.414633,0.421041
0.164458,0.414695,0.420847
0.164553,0.414734,0.420712
white_daisy,black_daisy,open_land
0.4,0.27,0.33
0.311253,0.260972,0.427775
0.276675,0.292721,0.430604
0.266588,0.307667,0.425745
0.263377,0.313732,0.422892
0.26235,0.316082,0.421568
0.262044,0.316989,0.420967
0.261971,0.317346,0.420683
0.261967,0.317491,0.420542
0.261978,0.317553,0.420469
0.292565,0.28052,0.426914
0.308097,0.268247,0.423656
0.314816,0.263654,0.421531
0.31753,0.261816,0.420654
0.318588,0.261048,0.420364
0.318989,0.260715,0.420295
0.319137,0.260566,0.420298
0.319188,0.260495,0.420317
0.319204,0.260461,0.420335
white_daisy,black_daisy,open_land
0.4,0.27,0.33
0.311253,0.260972,0.427775
0.276675,0.292721,0.430604
0.266588,0.307667,0.425745
0.263377,0.313732,0.422892
0.26235,0.316082,0.421568
0.262044,0.316989,0.420967
0.261971,0.317346,0.420683
0.261967,0.317491,0.420542
0.261978,0.317553,0.420469
0.23753,0.34723,0.41524
0.22908,0.357038,0.413882
0.225378,0.359499,0.415122
0.223476,0.35984,0.416685
0.222395,0.359685,0.41792
0.221745,0.359477,0.418779
0.221342,0.359311,0.419347
0.221088,0.359196,0.419716
0.220928,0.359119,0.419953
0.220826,0.359069,0.420105
0.200247,0.392392,0.40736
0.192653,0.399986,0.407361
0.188686,0.400792,0.410522
0.186247,0.400338,0.413415
0.184644,0.399807,0.415549
0.183563,0.399394,0.417043
0.182826,0.399099,0.418075
0.182321,0.398893,0.418787
0.181973,0.39875,0.419277
0.181733,0.398651,0.419616
0.164772,0.435425,0.399803
0.158144,0.440156,0.4017
0.154089,0.439711,0.4062
0.151272,0.438853,0.409875
0.149248,0.438149,0.412603
0.147774,0.437618,0.414609
0.146691,0.437222,0.416087
0.145892,0.436927,0.41718
0.145301,0.436708,0.417992
0.144861,0.436544,0.418595
0.131227,0.476523,0.392251
