white_daisy,black_daisy,open_land
0.4,0.27,0.33
0.311253,0.260972,0.427775
0.276675,0.292721,0.430604
0.266588,0.307667,0.425745
0.263377,0.313732,0.422892
0.26235,0.316082,0.421568
0.262044,0.316989,0.420967
0.261971,0.317346,0.420683
0.261967,0.317491,0.420542
0.261978,0.317553,0.420469
0.23753,0.34723,0.41524
0.22908,0.357038,0.413882
0.225378,0.359499,0.415122
0.223476,0.35984,0.416685
0.222395,0.359685,0.41792
0.221745,0.359477,0.418779
0.221342,0.359311,0.419347
0.221088,0.359196,0.419716
0.220928,0.359119,0.419953
0.220826,0.359069,0.420105
0.200247,0.392392,0.40736
0.192653,0.399986,0.407361
0.188686,0.400792,0.410522
0.186247,0.400338,0.413415
0.184644,0.399807,0.415549
0.183563,0.399394,0.417043
0.182826,0.399099,0.418075
0.182321,0.398893,0.418787
0.181973,0.39875,0.419277
0.181733,0.398651,0.419616
0.164772,0.435425,0.399803
0.158144,0.440156,0.4017
0.154089,0.439711,0.4062
0.151272,0.438853,0.409875
0.149248,0.438149,0.412603
0.147774,0.437618,0.414609
0.146691,0.437222,0.416087
0.145892,0.436927,0.41718
0.145301,0.436708,0.417992
0.144861,0.436544,0.418595
0.131227,0.476523,0.392251
0.125605,0.47781,0.396585
0.121632,0.4767,0.401668
0.11863,0.475737,0.405633
0.116324,0.474973,0.408702
0.114535,0.474369,0.411096
0.113134,0.47389,0.412977
0.11203,0.473508,0.414462
0.111157,0.473203,0.41564
0.110463,0.47296,0.416577
0.099843,0.515867,0.38429
0.095214,0.513215,0.391571
0.0914922,0.512178,0.39633
0.0885163,0.51126,0.400224
0.0861022,0.510499,0.403399
0.0841233,0.509863,0.406014
0.0824872,0.509329,0.408184
0.0811249,0.508879,0.409996
0.0799839,0.508498,0.411518
0.0790237,0.508175,0.412801
0.0710924,0.553686,0.375222
0.0674081,0.546698,0.385894
0.0641046,0.546585,0.38931
0.0613704,0.545664,0.392965
0.0590465,0.54498,0.395974
0.0570567,0.544365,0.398578
0.0553379,0.543829,0.400833
0.0538427,0.543355,0.402802
0.0525338,0.542937,0.40453
0.0513817,0.542565,0.406054
0.0458141,0.590266,0.36392
0.0430219,0.578678,0.3783
0.0403094,0.580413,0.379277
0.0380285,0.579209,0.382762
0.0360162,0.578764,0.385219
0.0342431,0.578218,0.387539
0.0326654,0.577759,0.389575
0.0312534,0.577335,0.391411
0.0299823,0.576951,0.393067
0.028832,0.576599,0.394569
0.0253034,0.625928,0.348769
0.0233745,0.609673,0.366953
0.0214202,0.614159,0.364421
0.0197795,0.612155,0.368066
0.018299,0.61227,0.369431
0.0169837,0.61176,0.371256
0.0158005,0.611493,0.372707
0.0147334,0.611185,0.374081
0.0137662,0.610924,0.37531
0.0128863,0.610677,0.376436
0.0110199,0.653488,0.335492
0.00986179,0.642991,0.347147
0.00877141,0.646881,0.344348
0.00784502,0.645006,0.347148
0.00701911,0.645498,0.347483
0.00629362,0.645061,0.348646
0.00564964,0.645025,0.349325
0.00507827,0.644849,0.350073
0.00456949,0.644749,0.350681
0.00411576,0.644636,0.351248
0.00339082,0.660382,0.336227
